scaffold,size,majority_label_id,n_classes_in_scaffold,class_0_count,class_1_count,class_2_count,class_3_count,class_4_count,class_5_count,class_6_count,class_7_count,class_8_count,class_9_count,class_10_count,split,assignment_score
O=c1[nH]c(=O)n(Cc2ccccc2)c(=Nc2ccc(Oc3cccnc3)cc2)[nH]1,127,1,1,0,127,0,0,0,0,0,0,0,0,0,validation,0.9585869069019417
O=c1nc(Nc2ccccc2)n(Cc2ccccc2)c(=O)[nH]1,127,1,1,0,127,0,0,0,0,0,0,0,0,0,validation,0.9437781881886543
O=C(Nc1cc[nH]c(=O)c1)c1ccccc1Oc1ccccc1,124,2,1,0,0,124,0,0,0,0,0,0,0,0,validation,0.9195609332576241
c1ccc(Cn2nc(-c3nccc(Nc4ccncc4)n3)c3ccccc32)cc1,120,8,1,0,0,0,0,0,0,0,0,120,0,0,validation,1.0018833267726956
O=C(Oc1ccccc1)c1cccs1,118,5,1,0,0,0,0,0,118,0,0,0,0,0,validation,0.960208207103028
O=S(=O)(Nc1nccs1)c1ccc2c(c1)OCCN2c1ccccc1,116,2,1,0,0,116,0,0,0,0,0,0,0,0,validation,0.9401622497476041
O=C(NCc1ccccc1)C1CCCc2ncccc21,114,1,1,0,114,0,0,0,0,0,0,0,0,0,validation,0.9301394504995569
O=C1CC(c2ccccc2)N(c2ccc(-c3ccsc3)cc2)C1=O,110,1,1,0,110,0,0,0,0,0,0,0,0,0,validation,0.921807252274545
O=C1CCC(C(=O)NCc2ccccc2)N1,104,1,1,0,104,0,0,0,0,0,0,0,0,0,validation,0.9151389162152502
c1ccc(Nc2ncnc3c2CCN(c2ccccn2)CC3)cc1,104,3,1,0,0,0,104,0,0,0,0,0,0,0,validation,0.8922319203254433
O=C(Cc1ccccc1)NCc1cccnc1N1CCCCC1,100,3,1,0,0,0,100,0,0,0,0,0,0,0,validation,0.871666130820915
O=C1CCSSCC2NC(=O)C3CSSCC(C(=O)NCC(=O)NC(Cc4ccccc4)C(=O)NCC(=O)NCCc4ccccc4)NC(=O)C(Cc4c[nH]c5ccccc45)NC(=O)CNC(=O)C(Cc4cnc[nH]4)NC(=O)CNC(=O)CNC(=O)CNC(=O)C(CSSCC(NC(=O)CNC(=O)CNC(=O)CNC(=O)C(Cc4ccccc4)NC(=O)CNC(=O)CN1)C(=O)NCC(=O)N1CCCC1C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N3)NC(=O)CNC(=O)CNC(=O)CNC(=O)C1CCCN1C(=O)CNC2=O,95,2,1,0,0,95,0,0,0,0,0,0,0,0,validation,0.8581275848728911
O=c1[nH]c(=O)n(Cc2ccccc2)c(=Nc2ccc3ncsc3c2)[nH]1,92,1,1,0,92,0,0,0,0,0,0,0,0,0,validation,0.8541056378849868
c1ccc(Cc2nc3c4c(ccc3n2C2CCCCC2)NCCC4)cc1,92,0,1,92,0,0,0,0,0,0,0,0,0,0,validation,0.8387282337997813
O=C(Nc1ccc(-c2cn[nH]c2)cn1)C(NCCc1ccccc1)c1ccccc1,91,0,1,91,0,0,0,0,0,0,0,0,0,0,validation,0.8243813046033572
O=S(=O)(Nc1cscn1)c1ccc(NC2CCN(Cc3ccccc3)C2)cc1,89,2,1,0,0,89,0,0,0,0,0,0,0,0,validation,0.813501006975765
c1ccc(-c2cn3ccc(N4CCNCC4)cc3n2)cc1,89,4,1,0,0,0,0,89,0,0,0,0,0,0,validation,0.7695389885200444
O=S(=O)(c1ccccc1)C1CCN(S(=O)(=O)c2ccccc2)C1,88,3,1,0,0,0,88,0,0,0,0,0,0,0,validation,0.7541979880409094
O=C1CCc2ccc(NC(=O)NC3CCOc4ccccc43)cc2N1,86,3,1,0,0,0,86,0,0,0,0,0,0,0,validation,0.7402767228977114
O=C(Cc1ccccc1)NCc1ccccc1,83,3,1,0,0,0,83,0,0,0,0,0,0,0,validation,0.7278450919927524
O=C(c1ccccc1)N1CCc2c(ncnc2-c2ccn[nH]2)C1,83,1,1,0,83,0,0,0,0,0,0,0,0,0,validation,0.7266787250776132
c1ccc(-c2cn3ccccc3n2)cc1,79,4,4,0,0,0,16,58,0,4,1,0,0,0,validation,0.6984938759655978
c1ccc(CCc2nc3c4c(ccc3n2C2CCCCC2)NCCC4)cc1,78,0,1,78,0,0,0,0,0,0,0,0,0,0,validation,0.688398547123536
O=C1C(=O)N(c2ccccc2)CCN1Cc1ccccc1,77,1,1,0,77,0,0,0,0,0,0,0,0,0,validation,0.6883802156946821
c1ccc(Nc2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)cc1,75,0,1,75,0,0,0,0,0,0,0,0,0,0,validation,0.6794563984401354
O=C(Nc1ccccc1)c1ccccc1,74,1,4,7,39,0,26,0,2,0,0,0,0,0,validation,0.6752943008524613
O=c1[nH]c(=O)n(Cc2ccccc2)c(=Nc2ccc3occc3c2)[nH]1,73,1,1,0,73,0,0,0,0,0,0,0,0,0,validation,0.6764432293206458
O=C(Cc1ccccc1)NCc1cccnc1,72,3,1,0,0,0,72,0,0,0,0,0,0,0,validation,0.6680578802609598
O=C(NCc1ccccc1)C1CCCN1C(=O)Cn1ccc2ccccc21,71,5,1,0,0,0,0,0,71,0,0,0,0,0,validation,0.6566367296607319
O=C(NCC1CCCCC1)c1ccc2[nH]ccc2c1,70,1,1,0,70,0,0,0,0,0,0,0,0,0,validation,0.6586088352744941
c1ccc(Nc2ncnc(N3CC(Oc4ccccc4)C3)n2)cc1,70,2,1,0,0,70,0,0,0,0,0,0,0,0,validation,0.6532409668113404
O=C(c1ccccc1)N1CCc2c(nnn2-c2ccccn2)C1,69,1,1,0,69,0,0,0,0,0,0,0,0,0,validation,0.6558635895966445
O=S(=O)(Nc1ccon1)c1ccc2c(-c3ccc(-c4ccccc4)cc3)nccc2c1,69,2,1,0,0,69,0,0,0,0,0,0,0,0,validation,0.6513162662788572
O=c1[nH]cc(-c2ccccc2)c2cc[nH]c12,69,0,1,69,0,0,0,0,0,0,0,0,0,0,validation,0.6449339531881321
O=c1ccc2cc(S(=O)(=O)Nc3ncccn3)ccc2n1-c1ccc(-c2ccccc2)cc1,68,2,1,0,0,68,0,0,0,0,0,0,0,0,validation,0.6411772676200526
O=C(Cc1ccccc1)NCCCc1ccccc1,67,3,1,0,0,0,67,0,0,0,0,0,0,0,validation,0.6351027725030167
O=S(=O)(Nc1nccs1)c1ccc(Oc2ccccc2-c2ccn[nH]2)cc1,67,2,1,0,0,67,0,0,0,0,0,0,0,0,validation,0.6321028153691478
O=C1NCc2ccc(NC(=O)NC3CCOc4ccccc43)cc2N1,66,3,1,0,0,0,66,0,0,0,0,0,0,0,validation,0.6268915005321523
O=C(Nc1ccccc1)N1CC=C(c2ccccn2)CC1,65,3,1,0,0,0,65,0,0,0,0,0,0,0,validation,0.6223686220312972
c1ccc(-c2ccccn2)cc1,64,3,3,0,2,0,58,0,0,0,4,0,0,0,validation,0.6165257111717654
c1ccc(Nc2ccc(Oc3ncc4ccncc4n3)cc2)cc1,64,7,1,0,0,0,0,0,0,0,64,0,0,0,validation,0.5819260801121924
O=c1[nH]c(=O)n(Cc2ccccc2)c(=Nc2ccc(Oc3ccccc3)cc2)[nH]1,63,1,1,0,63,0,0,0,0,0,0,0,0,0,validation,0.5860128345120548
c1ccc(CNc2cccc(Oc3ccccc3)c2)cc1,63,9,1,0,0,0,0,0,0,0,0,0,63,0,validation,0.5388973388752193
C1=CC(c2ccccc2)C=CN1,61,6,1,0,0,0,0,0,0,61,0,0,0,0,validation,0.5063095524133058
O=c1[nH]c(=O)n(Cc2ccccc2)c(=Nc2ccc(Oc3ccon3)cc2)[nH]1,61,1,1,0,61,0,0,0,0,0,0,0,0,0,validation,0.510924276426059
c1ccc(C2=NCc3nncn3-c3sccc32)cc1,61,0,1,61,0,0,0,0,0,0,0,0,0,0,validation,0.5071035280097286
O=C(Cc1ccccc1)NCc1ccnn1-c1ccccc1,60,3,1,0,0,0,60,0,0,0,0,0,0,0,validation,0.5047051830747429
O=C(Cc1cn[nH]c1)NCc1ccccc1,59,1,1,0,59,0,0,0,0,0,0,0,0,0,validation,0.5097861517175082
O=S(=O)(Nc1nccs1)c1ccc2c(-c3ccccc3)nccc2c1,59,2,1,0,0,59,0,0,0,0,0,0,0,0,validation,0.5089225167966818
O=S(=O)(c1ccccc1)N(Cc1ccccc1)c1cc2ccccc2cn1,59,3,1,0,0,0,59,0,0,0,0,0,0,0,validation,0.5072937367734265
c1ccc(Oc2ccc(-c3ncccn3)cc2)cc1,59,2,1,0,0,59,0,0,0,0,0,0,0,0,validation,0.506970879218028
O=C(COc1ccccc1)Nc1ccc(-c2nc3ccccc3o2)cc1,58,9,1,0,0,0,0,0,0,0,0,0,58,0,validation,0.479207126072104
O=C(Cc1ccccc1)NC1COc2ncccc21,58,1,1,0,58,0,0,0,0,0,0,0,0,0,validation,0.4850152384810541
O=S(=O)(Nc1ccncn1)c1ccc2c(-c3ccc(-c4ccccc4)cc3)nccc2c1,58,2,1,0,0,58,0,0,0,0,0,0,0,0,validation,0.4853461689407102
O=C(c1ccccc1)N1CCc2c(nnn2-c2ncccn2)C1,57,1,1,0,57,0,0,0,0,0,0,0,0,0,validation,0.4917660442715785
O=c1cc[nH]c(=Nc2ccc(Oc3ccccn3)cc2)n1Cc1ccccc1,57,1,1,0,57,0,0,0,0,0,0,0,0,0,validation,0.49885689566113045
S=C(NCCCc1ccccc1)NCc1ccccc1,57,3,1,0,0,0,57,0,0,0,0,0,0,0,validation,0.49928529225948637
O=C(Oc1ccccc1)c1ccco1,56,5,1,0,0,0,0,0,56,0,0,0,0,0,validation,0.49927423571920887
O=C(CCc1ccccc1)N1CCN(c2ncc3ccccc3n2)CC1,55,5,1,0,0,0,0,0,55,0,0,0,0,0,validation,0.5035182535622507
O=c1[nH]c(=O)n(Cc2ccccc2)c(=Nc2ccc(Oc3cnccn3)cc2)[nH]1,55,1,1,0,55,0,0,0,0,0,0,0,0,0,validation,0.5122017521157793
O=C(Nc1ccccc1)C1CCCN1C(=O)Nc1c[nH]c2ccccc12,54,5,1,0,0,0,0,0,54,0,0,0,0,0,validation,0.5208582927659592
O=C(c1ccc2cc(Oc3ccccn3)ccc2n1)N1CCNCC1,54,2,1,0,0,54,0,0,0,0,0,0,0,0,validation,0.5245072502331952
O=C1c2n[nH]cc2C(c2ccccc2)N1c1ccc(-c2ccsc2)cc1,54,1,1,0,54,0,0,0,0,0,0,0,0,0,validation,0.5344014433851747
c1ccc(COc2ccnn2-c2ccccn2)cc1,54,7,1,0,0,0,0,0,0,0,54,0,0,0,validation,0.5167291761557907
O=C1NCCN1c1cccc2c1cnn2-c1ccccc1,53,2,1,0,0,53,0,0,0,0,0,0,0,0,validation,0.5216827124976168
O=S(=O)(Nc1cscn1)c1ccc(NCc2ccccc2)cc1,53,2,1,0,0,53,0,0,0,0,0,0,0,0,validation,0.5272558497479022
O=C1N=C(Nc2ccccc2)N2C(=NCC2c2ccccc2)N1,52,1,1,0,52,0,0,0,0,0,0,0,0,0,validation,0.5384381128957147
O=S(=O)(Nc1ccon1)c1ccc2c(-c3ccc(-c4ccccc4)cc3)ncnc2c1,52,2,1,0,0,52,0,0,0,0,0,0,0,0,validation,0.5448610135351997
c1ccc(Oc2cncnc2)cc1,52,1,1,0,52,0,0,0,0,0,0,0,0,0,validation,0.5569544421865888
O=C(NCC(c1cncnc1)N1CCCCC1)c1ccccc1,51,1,1,0,51,0,0,0,0,0,0,0,0,0,validation,0.5693577236829632
O=C(NCc1ccccc1)C1CC2CC2N1C(=O)Nc1c[nH]c2ccccc12,51,5,1,0,0,0,0,0,51,0,0,0,0,0,validation,0.584425704450881
O=S(=O)(Nc1nccs1)c1ccc(NCc2ccccc2)cc1,51,2,1,0,0,51,0,0,0,0,0,0,0,0,validation,0.5923290016108804
O=S(=O)(Nc1ncns1)c1ccc(Oc2ccccc2-c2ccn[nH]2)cc1,51,2,1,0,0,51,0,0,0,0,0,0,0,0,validation,0.6008060196547892
O=c1ccnc(Nc2ccccc2)n1Cc1ccccc1,51,1,1,0,51,0,0,0,0,0,0,0,0,0,validation,0.6147643689315133
O=C(NCCCCNc1nc2ccccc2n2cnnc12)c1ccccc1,50,0,1,50,0,0,0,0,0,0,0,0,0,0,validation,0.6198662316465493
O=S(=O)(Nc1cscn1)c1ccc(NCc2ccccc2CN2CCC2)cc1,50,2,1,0,0,50,0,0,0,0,0,0,0,0,validation,0.6293927721436866
O=S(=O)(Nc1ncns1)c1ccc(Oc2ccccc2-c2ccccc2)cc1,50,2,1,0,0,50,0,0,0,0,0,0,0,0,validation,0.6394707552435824
c1ccc(-c2cn3ccc(N4CCCCC4)cc3n2)cc1,50,4,1,0,0,0,0,50,0,0,0,0,0,0,validation,0.634836837779502
O=C1CCNc2c(cccc2-c2ccccc2)N1,49,0,1,49,0,0,0,0,0,0,0,0,0,0,validation,0.6412842786869508
O=C1NCC(C(=O)NCc2ccccc2)N1,49,1,1,0,49,0,0,0,0,0,0,0,0,0,validation,0.6567928522299101
C(=NCc1ccccc1)NCc1ccccc1,48,3,1,0,0,0,48,0,0,0,0,0,0,0,validation,0.6652561457167468
O=c1[nH]c(=O)n(Cc2ccccc2)c(=Nc2ccc(Oc3nccs3)cc2)[nH]1,48,1,1,0,48,0,0,0,0,0,0,0,0,0,validation,0.6812295518911984
c1ccc(Nc2nc3c4c(ccc3n2C2CCCCC2)NCCC4)cc1,48,0,1,48,0,0,0,0,0,0,0,0,0,0,validation,0.6889225030991848
O=C(Cc1ccccc1)Nc1cnn(Cc2ccccc2)n1,47,6,1,0,0,0,0,0,0,47,0,0,0,0,validation,0.679203465404612
O=C(Nc1ccccc1)c1ccc(-c2ccccn2)cc1,47,3,1,0,0,0,47,0,0,0,0,0,0,0,validation,0.6889052225590254
O=c1[nH]cc(-c2ccccc2)c2ccccc12,47,0,1,47,0,0,0,0,0,0,0,0,0,0,validation,0.6974641407844882
O=c1ccc2cc(S(=O)(=O)Nc3ccncn3)ccc2n1-c1ccc(-c2ccccc2)cc1,47,2,1,0,0,47,0,0,0,0,0,0,0,0,validation,0.7100950743397108
O=C(Nc1cccnc1)c1ccccc1Oc1ccccc1,46,2,1,0,0,46,0,0,0,0,0,0,0,0,validation,0.7229290789187208
O=c1c2[nH]cnc2ncn1Cc1nc(C2C3CN(c4ccccc4)CC32)no1,46,3,1,0,0,0,46,0,0,0,0,0,0,0,validation,0.7337800082363988
c1ccc(-c2cn3ccc(N4CCCC4)cc3n2)cc1,46,4,1,0,0,0,0,46,0,0,0,0,0,0,validation,0.7355950297535987
O=c1ccc(-c2ccccc2Oc2ccccc2)c[nH]1,45,0,1,45,0,0,0,0,0,0,0,0,0,0,validation,0.7452929030673938
O=C(Cc1cnn(-c2ccccc2)c1)NCc1ccccc1,44,1,1,0,44,0,0,0,0,0,0,0,0,0,validation,0.76275819284416
O=C1NCc2c(cccc2NC(=O)NC2CCOc3ccccc32)N1,44,3,1,0,0,0,44,0,0,0,0,0,0,0,validation,0.7743893914491473
O=S(=O)(Nc1ccncn1)c1ccc2c(-c3ccccc3)nccc2c1,44,2,1,0,0,44,0,0,0,0,0,0,0,0,validation,0.7883936109444626
O=C(NCc1ccc[nH]c1=O)c1cn(CC2CCNCC2)c2ccccc12,43,4,1,0,0,0,0,43,0,0,0,0,0,0,validation,0.79363603842282
O=S(=O)(Nc1ccncn1)c1ccc(NC2CCC(c3ccccc3)CC2)cc1,43,2,1,0,0,43,0,0,0,0,0,0,0,0,validation,0.8079757748899734
O=S(=O)(Nc1nccs1)c1ccc(Oc2ccc(-c3ccn[nH]3)cc2)cc1,43,2,1,0,0,43,0,0,0,0,0,0,0,0,validation,0.8227233583061265
O=c1[nH]cc(-c2cccnc2Oc2ccccc2)c2cc[nH]c12,43,0,1,43,0,0,0,0,0,0,0,0,0,0,validation,0.8338355574897901
c1cc(-c2cn[nH]c2)ccc1Nc1nn(C2CCOC2)c2c1CNCC2,43,0,1,43,0,0,0,0,0,0,0,0,0,0,validation,0.8453203733582141
c1ccc(Cc2c(C3CCN(c4ncccn4)CC3)nc3c(c2C2CCCCC2)CCCC3)cc1,43,9,1,0,0,0,0,0,0,0,0,0,43,0,validation,0.846666996668382
c1ccc(Oc2ccc3ncccc3c2)nc1,43,2,1,0,0,43,0,0,0,0,0,0,0,0,validation,0.8625460430303054
c1ccc2[nH]cnc2c1,42,6,3,0,0,18,1,0,0,23,0,0,0,0,validation,0.8688777571686599
O=C(Nc1ccccc1)Nc1cccc2ccccc12,42,3,1,0,0,0,42,0,0,0,0,0,0,0,validation,0.8825405033666274
O=c1[nH]c(=O)n(Cc2ccccc2)c(=Nc2ccc(OC3CCC3)cc2)[nH]1,42,1,1,0,42,0,0,0,0,0,0,0,0,0,validation,0.902176442295298
O=C(Nc1cccc2[nH]c(=O)ccc12)NC1CCOc2ccccc21,41,3,1,0,0,0,41,0,0,0,0,0,0,0,validation,0.9161485718183111
c1ccc2c(NC3CN4CCC3CC4)noc2c1,41,10,1,0,0,0,0,0,0,0,0,0,0,41,validation,0.8904087713198237
O=C(Nc1ccncc1)c1cccnc1N1CCCCC1,40,2,1,0,0,40,0,0,0,0,0,0,0,0,validation,0.9066963840868758
O=c1ccc(-c2ccccc2)c[nH]1,40,0,1,40,0,0,0,0,0,0,0,0,0,0,validation,0.919457298218483
O=C(Cc1ccc2[nH]ncc2c1)Nc1cnn(Cc2ccccc2)n1,39,6,1,0,0,0,0,0,0,39,0,0,0,0,validation,0.9219456303016471
O=C(NC1CCCCC1)C1CC2CC2N1C(=O)Cn1ncc2ccccc21,39,5,1,0,0,0,0,0,39,0,0,0,0,0,validation,0.9446957275100152
O=C(NCC1(c2cccnc2)CCCCC1)c1ccccc1,39,1,1,0,39,0,0,0,0,0,0,0,0,0,validation,0.9644763227199082
O=C(Nc1ccccc1)N1CCN(c2ccccn2)CC1,39,3,1,0,0,0,39,0,0,0,0,0,0,0,validation,0.9793536867272873
O=c1c2c3c(sc2ncn1CCc1ccccc1)CNCC3,39,1,1,0,39,0,0,0,0,0,0,0,0,0,validation,0.9996468125329423
O=C(C=Cc1ccccc1)Nc1ccccc1,38,3,1,0,0,0,38,0,0,0,0,0,0,0,validation,1.0146886073215275
O=C(NCc1ccc[nH]c1=O)c1cc(NC2CCOCC2)cc(-c2ccccc2)c1,38,4,1,0,0,0,0,38,0,0,0,0,0,0,validation,1.0252363505159536
O=c1[nH]c(=O)n(Cc2ccccc2)c(=Nc2ccc(OCC3CC3)cc2)[nH]1,38,1,1,0,38,0,0,0,0,0,0,0,0,0,validation,1.045688019907367
c1ccc(N2CCN(c3nc4ccccc4[nH]3)CC2)nc1,38,3,1,0,0,0,38,0,0,0,0,0,0,0,validation,1.061454552686274
c1ncc2ncn(C3CCCO3)c2n1,37,4,3,4,14,0,0,19,0,0,0,0,0,0,validation,1.0768454530904048
O=C(Cc1ccccc1)OCC1=CC2C3OC4(Cc5ccccc5)OC3CCC2(O4)C2C=CC(=O)C2C1,37,3,1,0,0,0,37,0,0,0,0,0,0,0,validation,1.0927100427759218
O=C(Nc1nc2ccccc2s1)N1CCN(c2ccccn2)CC1,37,3,1,0,0,0,37,0,0,0,0,0,0,0,validation,1.1089045512827544
O=C(c1ccccc1)N1CCN(c2ccccc2)C(=O)C1,37,1,1,0,37,0,0,0,0,0,0,0,0,0,validation,1.1298631449724503
O=C1CC(c2ccccc2)N(c2ccc(-c3ccon3)cc2)C1=O,37,1,1,0,37,0,0,0,0,0,0,0,0,0,validation,1.151104461415097
O=c1[nH]c(=O)n(Cc2ccccc2)c(=Nc2ccc(Oc3cccnn3)cc2)[nH]1,37,1,1,0,37,0,0,0,0,0,0,0,0,0,validation,1.1726285006106951
c1cncc(NCC2CCCc3ccccc32)c1,37,7,1,0,0,0,0,0,0,0,37,0,0,0,validation,1.1767160337919527
O=C(Oc1ccccc1)c1ccccc1,36,5,3,0,0,0,4,0,16,16,0,0,0,0,validation,1.1927820632798949
O=C(NCc1ccnn1-c1ccccc1)Nc1cccc2[nH]ncc12,36,3,1,0,0,0,36,0,0,0,0,0,0,0,validation,1.2097355770302007
O=c1c2[nH]cnc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,36,3,1,0,0,0,36,0,0,0,0,0,0,0,validation,1.2270014171445873
c1ccc(-c2cccc(-n3cccn3)c2)cc1,36,2,1,0,0,36,0,0,0,0,0,0,0,0,validation,1.2455030010118988
c1ccc(Nc2nc(N3CCCCC3)nc3c2CCN(c2ccccn2)CC3)cc1,36,3,1,0,0,0,36,0,0,0,0,0,0,0,validation,1.2632502329909623
O=C(Cc1ccc(N2CCCC2)nc1)Nc1cnn(Cc2ccccc2)n1,35,6,1,0,0,0,0,0,0,35,0,0,0,0,validation,1.2726790709436075
O=C1CC(c2ccccc2)N(c2ccc(-c3ccco3)cc2)C1=O,35,1,1,0,35,0,0,0,0,0,0,0,0,0,validation,1.294450445539836
O=C1NCc2cc(-c3ccc(-c4cncc(NS(=O)(=O)c5ccccc5)c4)s3)ccc21,35,9,1,0,0,0,0,0,0,0,0,0,35,0,validation,1.3068204749365684
O=C1Nc2ccc(NS(=O)(=O)c3ccccc3)c3cccc1c23,35,0,1,35,0,0,0,0,0,0,0,0,0,0,validation,1.3223288628355394
O=S(=O)(Nc1nccs1)c1ccc(OC2CCN(Cc3ccccc3)CC2)cc1,35,2,1,0,0,35,0,0,0,0,0,0,0,0,validation,1.3413941637261573
c1ccc(Cn2ccc3c2ccc2nncn23)cc1,35,0,1,35,0,0,0,0,0,0,0,0,0,0,validation,1.3573092211604703
O=C(NC1CCN(C(=O)c2ccn[nH]2)C1)C1CC1,34,7,1,0,0,0,0,0,0,0,34,0,0,0,validation,1.3653405516922108
O=C1CCCc2[nH]c(-c3ccnc(NC(=O)C4CC4)c3)c(Nc3ccccc3)c21,34,8,1,0,0,0,0,0,0,0,0,34,0,0,validation,1.4176892766766684
O=C1OC(c2ccccc2)CN1Cc1ccccc1-c1ccccc1,34,9,1,0,0,0,0,0,0,0,0,0,34,0,validation,1.4355040506363967
O=C1c2ccccc2C(=O)c2c(Nc3ccccc3)cccc21,34,1,1,0,34,0,0,0,0,0,0,0,0,0,validation,1.4579689884450522
O=c1[nH]c(=Nc2ccccc2)n(Cc2ccccc2)c(=O)n1CC1CC1,34,1,1,0,34,0,0,0,0,0,0,0,0,0,validation,1.4806726607331904
O=c1[nH]c(=O)n(Cc2ccccc2)c(=Nc2ccc(Oc3ncns3)cc2)[nH]1,34,1,1,0,34,0,0,0,0,0,0,0,0,0,validation,1.5036150675008106
O=c1c2[nH]cnc2ncn1Cc1nc(C2C3C=C(c4ccccc4)CC32)no1,34,3,1,0,0,0,34,0,0,0,0,0,0,0,validation,1.5224993624869516
c1ccc(CNc2nnnn2-c2ccccc2)cc1,34,1,1,0,34,0,0,0,0,0,0,0,0,0,validation,1.5458313059861308
c1ccc(Nc2nc3c(Nc4ccccc4)ncnc3s2)cc1,34,3,1,0,0,0,34,0,0,0,0,0,0,0,validation,1.565144990629345
c1ccc(Sc2ccccc2N2CCNCC2)cc1,34,10,1,0,0,0,0,0,0,0,0,0,0,34,validation,1.5591795465474727
c1ccc2c(NC3CCNCC3)ncnc2c1,34,4,1,0,0,0,0,34,0,0,0,0,0,0,validation,1.575751260577203
C(=Cc1nc2cc(-c3ccccc3)ccc2[nH]1)c1ccccc1,33,3,1,0,0,0,33,0,0,0,0,0,0,0,validation,1.5950560467360007
O=C(CN1CCN(c2cccc3c2cnn3-c2ccccc2)C1=O)N1CCCC1,33,2,1,0,0,33,0,0,0,0,0,0,0,0,validation,1.6151821588939301
O=C(Cc1cnoc1)NCc1ccccc1,33,1,1,0,33,0,0,0,0,0,0,0,0,0,validation,1.6387793987370594
O=C1OC(c2ccccc2)CN1CC1=C(c2cccc(-c3ccccc3)c2)CCCC1,33,9,1,0,0,0,0,0,0,0,0,0,33,0,validation,1.6624086870502617
O=S(=O)(Nc1nccs1)c1ccc(Oc2ccccc2-c2cn[nH]c2)cc1,33,2,1,0,0,33,0,0,0,0,0,0,0,0,validation,1.683059131572235
O=c1[nH]c2ccc(-c3cnoc3)c3c2n1C(c1ccccn1)CO3,33,0,1,33,0,0,0,0,0,0,0,0,0,0,validation,1.700611212082932
O=c1ccc2cc(NS(=O)(=O)c3ccccc3)ccc2[nH]1,33,7,1,0,0,0,0,0,0,0,33,0,0,0,validation,1.7130537440652094
O=c1ccc2cc(S(=O)(=O)Nc3cccnn3)ccc2n1-c1ccc(-c2ccccc2)cc1,33,2,1,0,0,33,0,0,0,0,0,0,0,0,validation,1.7342285209512251
O=c1ccc2cc(S(=O)(=O)Nc3ccon3)ccc2n1-c1cccc(-c2ccccc2)c1,33,2,1,0,0,33,0,0,0,0,0,0,0,0,validation,1.7556435062350035
c1ccc(-n2ccc3cnc(Nc4ccc(N5CCNCC5)cc4)nc32)cc1,33,0,1,33,0,0,0,0,0,0,0,0,0,0,validation,1.7738412316295225
c1ccc(Nc2ccc3c(c2)OCCC3CNc2cccnc2)cc1,33,7,1,0,0,0,0,0,0,0,33,0,0,0,validation,1.7890065291393045
c1ccc(OCC23CC4CC(CC(C4)C2)C3)cc1,33,2,1,0,0,33,0,0,0,0,0,0,0,0,validation,1.8109458467871258
O=C(NCc1ccccc1)C1COc2ncccc21,32,1,1,0,32,0,0,0,0,0,0,0,0,0,validation,1.8352826108517164
O=C(c1ccccc1)N1CCC2(CC1)Nc1ccccc1-n1cccc12,32,2,1,0,0,32,0,0,0,0,0,0,0,0,validation,1.8569200834325312
